participant_id,cluster,subgroup,target_role,eligibility_status,contact_status,interview_status,consent_notes,interview_date,quality_status,replacement_for
C01,clothing,women,producer_or_reseller,pending,not_contacted,not_started,pending,,,
C02,clothing,women,producer_or_reseller,pending,not_contacted,not_started,pending,,,
C03,clothing,women,producer_or_reseller,pending,not_contacted,not_started,pending,,,
C04,clothing,women,producer_or_reseller,pending,not_contacted,not_started,pending,,,
C05,clothing,men,producer_or_reseller,pending,not_contacted,not_started,pending,,,
C06,clothing,men,producer_or_reseller,pending,not_contacted,not_started,pending,,,
C07,clothing,children,producer_or_reseller,pending,not_contacted,not_started,pending,,,
C08,clothing,children,producer_or_reseller,pending,not_contacted,not_started,pending,,,
A01,accessories,costume_jewelry,producer_or_reseller,pending,not_contacted,not_started,pending,,,
A02,accessories,costume_jewelry,producer_or_reseller,pending,not_contacted,not_started,pending,,,
A03,accessories,bag_or_wearable,producer_or_reseller,pending,not_contacted,not_started,pending,,,
A04,accessories,bag_or_wearable,producer_or_reseller,pending,not_contacted,not_started,pending,,,
A05,accessories,handmade,producer,pending,not_contacted,not_started,pending,,,
A06,accessories,handmade,producer,pending,not_contacted,not_started,pending,,,
B01,beauty,color_cosmetics,licensed_reseller,pending,not_contacted,not_started,pending,,,
B02,beauty,color_cosmetics,licensed_reseller,pending,not_contacted,not_started,pending,,,
B03,beauty,skin_care,licensed_reseller,pending,not_contacted,not_started,pending,,,
B04,beauty,skin_care,licensed_reseller,pending,not_contacted,not_started,pending,,,
B05,beauty,hair_or_body_care,licensed_reseller,pending,not_contacted,not_started,pending,,,
B06,beauty,hair_or_body_care,licensed_reseller,pending,not_contacted,not_started,pending,,,
